bookID,title,authors,average_rating,isbn,isbn13,category
13451,Storm of the Century,Stephen King,3.92,067103264X,9.78067E+12,Fiction
32506,The Poet (Jack McEvoy  #1; Harry Bosch Universe  #5),Michael Connelly,4.2,0446690457,9.78045E+12,Fiction
4723,Trimalchio,F. Scott Fitzgerald/James L.W. West III,4.42,0521890470,9.78052E+12,Fiction
35427,Star Wars: Knights of the Old Republic  Vol. 1: Commencement (Star Wars: Knights of the Old Republic  #1),John Jackson Miller/Travis Charest/Michael Atiyeh/Brian Ching/Travel Foreman,4.07,1593076401,9.78159E+12,Comics & Graphic Novels
44559,Life is Elsewhere,Milan Kundera/Aaron Asher,3.95,0060997028,9.78006E+12,Czech fiction
16528,My Invented Country: A Nostalgic Journey Through Chile,Isabel Allende,3.85,006054564X,9.78006E+12,Biography & Autobiography
42543,Eisenhower  Volume #2: The President,Stephen E. Ambrose,4.2,0671605658,9.78067E+12,Government publications
24658,The Prose Edda,Snorri Sturluson/Jesse L. Byock,4.17,0140447555,9.78014E+12,Art
22553,Gunslinger Girl  Vol. 1,Yu Aida/Hiroshi Aida,3.87,1413900208,9.78141E+12,Comics & Graphic Novels
4623,Does Anything Eat Wasps?: And 101 Other Unsettling  Witty Answers to Questions You Never Thought You Wanted to Ask,New Scientist/Mick O'Hare,3.52,0743297261,9.78074E+12,
6953,Like Water for Chocolate,Laura Esquivel/Yareli Arizmendi,3.95,0739334190,9.78074E+12,Literary Criticism
31493,Standing in the Rainbow (Elmwood Springs  #2),Fannie Flagg,4.04,0345452887,9.78035E+12,Philosophy
11782,Missing Mom,Joyce Carol Oates,3.55,0060816228,9.78006E+12,Fiction
15598,Heart & Hands: A Midwife's Guide to Pregnancy & Birth,Elizabeth  Davis/Suzanne Arms,4.37,1587612216,9.78159E+12,Government publications
13847,Essence and Alchemy: A Natural History of Perfume,Mandy Aftel,4.09,1586857029,9.78159E+12,Health & Fitness
3340,The Story of Salt,Mark Kurlansky/S.D. Schindler,4.08,0399239987,9.7804E+12,Juvenile Nonfiction
26587,The One-Eyed Giant (Tales from the Odyssey  #1),Mary Pope Osborne/Homer/Troy Howell,3.88,0786809280,9.78079E+12,Juvenile Fiction
39093,The Making of the Fittest: DNA and the Ultimate Forensic Record of Evolution,Sean B. Carroll/Jamie W. Carroll/Leanne M. Olds,4.07,0393061639,9.78039E+12,Science
33477,The Best of the Spirit,Will Eisner/Neil Gaiman,3.92,1401207553,9.7814E+12,Graphic novels
14032,House of the Sleeping Beauties and Other Stories,Yasunari Kawabata/Edward G. Seidensticker/Yukio Mishima,3.67,4770029756,9.78477E+12,Fiction
18750,Beauty's Punishment (Sleeping Beauty  #2),A.N. Roquelaure/Anne Rice,3.62,0452281431,9.78045E+12,American fiction
34762,Legends  Lies  Cherished Myths of World History,Richard Shenkman,3.47,0060922559,9.78006E+12,
36023,Tim Burton: Interviews,Kristian Fraga,4.26,1578067596,9.78158E+12,Biography & Autobiography
27309,The Battle for God: A History of Fundamentalism,Karen Armstrong,3.93,0345391691,9.78035E+12,Religion
4454,The Road Less Traveled: A New Psychology of Love  Traditional Values  and Spiritual Growth,M. Scott Peck,4.05,0743243153,9.78074E+12,Fiction
11723,Angels & Insects,A.S. Byatt,3.65,0676503187,9.78068E+12,Self-Help
5073,Gunnm Last Order  Tome 01,Yukito Kishiro,4.06,2723439801,9.78272E+12,
22037,The Fortunate Pilgrim,Mario Puzo,3.83,0345476727,9.78035E+12,Fiction
15997,Paradise Lost,John Milton/John      Leonard,3.82,0140424393,9.78014E+12,Philosophy
17581,Pioneer Girl: The Story of Laura Ingalls Wilder,William   Anderson/Dan Andreasen,4.14,006446234X,9.78006E+12,
5777,Choke Point: A Brinker Mystery (Brinker P.I.),James C. Mitchell,3.22,0312315325,9.78031E+12,
23790,Short Stories,Anton Chekhov/Ralph E. Matlaw,4.35,0393090027,9.78039E+12,Fiction
21746,The Enemy (Jack Reacher  #8),Lee Child/Dick Hill,4.16,1590864093,9.78159E+12,Fiction
31363,How to Write Science Fiction & Fantasy,Orson Scott Card,3.9,158297103X,9.78158E+12,Language Arts & Disciplines
12086,Long Day's Journey: The Steamboat & Stagecoach Era in the Northern West,Carlos A. Schwantes,4,0295976918,9.7803E+12,Business & Economics
5069,Battle Angel Alita - Last Order : Angel's Vision  Vol. 08,Yukito Kishiro,4.1,1421508656,9.78142E+12,"Comic books, strips, etc"
27892,Lords of the Sky,Angus Wells,3.94,0553572660,9.78055E+12,
24374,Harper Lee's To Kill a Mockingbird (Bloom's Guides),Harold Bloom/Harper Lee,4.41,0791077640,9.78079E+12,Literary Criticism
19510,Essays and Aphorisms,Arthur Schopenhauer/R.J. Hollingdale,4.17,0140442278,9.78014E+12,Philosophy
23835,Cognitive Behavioral Treatment of Insomnia: A Session-By-Session Guide,Michael L. Perlis/Carla Jungquist/Michael T. Smith,4.05,0387222529,9.78039E+12,Psychology
